lhs,relation,rhs
3d,is-a,field
3d,used-in,visuals
3d,used-for,3d-printing
3d,used-for,game
3d,used-for,virtual-reality
actions,is-a,tool
actions,used-in,software-development
actions,used-for,automation
actions,used-for,cicd
activitypub,is-a,protocol
activitypub,used-in,social-network
ada,is-a,programming-language
ai,is-a,field
ai,used-in,research
ai,used-in,scientific
ajax,is-a,technique
ajax,used-in,webapp
ajax,used-for,asynchronous
ajax,works-with,javascript
algolia,is-a,api
algolia,used-in,webapp
algolia,used-in,mobile
algolia,used-for,search
algorithm,is-a,cs-basics
algorithm,used-in,education
amphp,is-a,framework
amphp,used-for,asynchronous
amphp,works-with,php
android,is-a,operating-system
android,is-a,platform
android,used-in,mobile
angular,is-a,platform
angular,is-a,framework
angular,used-in,webapp
angular,used-in,mobile
anidb,is-a,forum
anidb,is-a,database
anidb,used-in,entertainment
animal-crossing,is-a,game
animal-crossing,is-a,application
animal-crossing,used-in,entertainment
anki,is-a,application
anki,used-in,education
ansible,is-a,tool
ansible,used-in,software-development
ansible,used-for,automation
ansible,used-for,cicd
ansible,used-for,manage
ansible,used-for,monitor
antlr,is-a,tool
antlr,used-in,software-development
antlr,used-for,parser
api,is-a,under-revision
api,used-in,software-development
apm,is-a,process
apm,used-in,software-development
apm,used-for,manage
apm,used-for,monitor
archlinux,is-a,operating-system
arduino,is-a,organization
arduino,used-in,hardware
arduino,used-in,software-development
aspnet,is-a,framework
aspnet,used-in,webapp
assemblyscript,is-a,compiler
assemblyscript,used-in,software-development
assemblyscript,works-with,typescript
atom,is-a,text-editor
atom,used-in,software-development
aurelia,is-a,framework
aurelia,used-in,webapp
aurelia,used-in,mobile
aurelia,used-in,desktop
aurelia,used-for,frontend
aurelia,works-with,javascript
auth0,is-a,under-revision
auth0,used-in,security
auth0,used-for,authentication
avalonia,is-a,framework
avalonia,used-in,desktop
avalonia,used-in,mobile
avalonia,used-for,frontend
avalonia,used-for,ui-ux
avalonia,works-with,dotnet
awesome,is-a,artifact
awesome,used-in,education
awesomewm,is-a,tool
awesomewm,is-a,application
awesomewm,used-in,visuals
awesomewm,used-for,manage
awesomewm,works-with,x-window
aws,is-a,under-revision
aws,used-in,cloud-computing
aws,used-for,as-a-service
azure,is-a,under-revision
azure,used-in,cloud-computing
azure,used-for,as-a-service
babel,is-a,compiler
babel,used-in,software-development
babel,works-with,javascript
backbonejs,is-a,library
backbonejs,used-in,webapp
backbonejs,works-with,javascript
bash,is-a,cli
bash,used-in,software-development
basic8,is-a,not-important
bioinformatics,is-a,field
bioinformatics,used-in,research
bioinformatics,used-in,scientific
bioinformatics,used-in,ai
biological-expression-language,is-a,representation-language
biological-expression-language,used-in,bioinformatics
biological-expression-language,used-in,scientific
biological-expression-language,used-in,research
bitcoin,is-a,cryptocurrency
bitcoin,used-in,blockchain
bitcoin-cash,is-a,cryptocurrency
bitcoin-cash,used-in,blockchain
blockchain,is-a,under-revision
bootstrap,is-a,framework
bootstrap,used-in,webapp
bootstrap,used-for,frontend
bootstrap,works-with,html
bootstrap,works-with,css
bootstrap,works-with,javascript
bosque,is-a,programming-language
bot,is-a,application
bot,used-in,internet
bot,used-for,automation
c,is-a,programming-language
calculate-pi,is-a,not-important
cassandra,is-a,dbms
cassandra,used-in,database
cassandra,used-for,nosql
cdnjs,is-a,under-revision
cdnjs,used-in,webapp
cdnjs,works-with,css
cdnjs,works-with,javascript
chrome,is-a,application
chrome,is-a,browser
chrome,used-in,internet
chrome-extension,is-a,addon
chrome-extension,used-in,chrome
clash,is-a,under-revision
cli,is-a,tool
cli,used-in,software-development
clojure,is-a,programming-language
clojurescript,is-a,compiler
clojurescript,used-in,software-development
clojurescript,works-with,javascript
cloud-run,is-a,platform
cloud-run,used-in,cloud-computing
cms,is-a,tool
cms,used-in,webapp
cms,used-for,manage
coap,is-a,protocol
coap,used-in,iot
code-quality,is-a,concept
code-quality,used-in,software-development
code-review,is-a,process
code-review,used-in,software-development
codeception,is-a,framework
codeception,used-in,webapp
codeception,used-for,testing
codeception,works-with,php
common-lisp,is-a,programming-language
compiler,is-a,under-revision
compiler,used-in,software-development
composer,is-a,tool
composer,used-in,software-development
composer,used-for,manage
composer,works-with,php
computer-vision,is-a,field
computer-vision,used-in,research
computer-vision,used-in,ai
computer-vision,used-for,visuals
conan,is-a,tool
conan,used-in,software-development
conan,used-for,manage
conan,works-with,c
conan,works-with,cpp
contentful,is-a,cms
contentful,used-in,webapp
contentful,used-in,mobile
contentful,used-for,manage
continuous-integration,is-a,process
continuous-integration,used-in,software-development
